,VLM1 -    0.0°-13.90m/s, , ,, , ,VLM1 -    8.1°-13.90m/s, , ,, , 
    -11.18573,    -0.0920611, ,     -1.170291,   0.006076689, ,     -11.18573,    -0.2635858, ,     -1.170291,  -0.001949128, , 
    -11.12873,    -0.1066293, ,     -1.057338,   0.004870335, ,     -11.12873,    -0.3050843, ,     -1.057338,  -0.002212093, , 
    -11.01502,    -0.1304382, ,    -0.8538032,   0.003388912, ,     -11.01502,    -0.3723511, ,    -0.8538032,  -0.002656174, , 
    -10.84518,    -0.1544639, ,          -0.6,   0.002015467, ,     -10.84518,    -0.4387309, ,          -0.6,    -0.0030394, , 
    -10.62008,    -0.1759832, ,    -0.3461968,   0.001022141, ,     -10.62008,    -0.4936341, ,    -0.3461968,  -0.003367159, , 
    -10.34086,    -0.1942653, ,    -0.1426624,  0.0003856976, ,     -10.34086,      -0.53439, ,    -0.1426624,  -0.003594139, , 
    -10.00894,    -0.2089293, ,   -0.02970934,  7.672825e-05, ,     -10.00894,    -0.5619943, ,   -0.02970934,  -0.003704186, , 
    -9.626022,    -0.2213971, , , , ,     -9.626022,     -0.579548, , , , , 
    -9.194051,    -0.2323752, , , , ,     -9.194051,    -0.5892289, , , , , 
    -8.715229,    -0.2422243, , , , ,     -8.715229,    -0.5932235, , , , , 
    -8.191996,    -0.2512097, , , , ,     -8.191996,    -0.5931765, , , , , 
    -7.627018,    -0.2595016, , , , ,     -7.627018,    -0.5898341, , , , , 
    -7.023175,    -0.2671909, , , , ,     -7.023175,    -0.5837791, , , , , 
    -6.383544,    -0.2743244, , , , ,     -6.383544,    -0.5766126, , , , , 
    -5.711383,    -0.2809186, , , , ,     -5.711383,    -0.5685469, , , , , 
    -5.010118,     -0.286971, , , , ,     -5.010118,    -0.5603443, , , , , 
    -4.283323,    -0.2924355, , , , ,     -4.283323,     -0.551528, , , , , 
    -3.534702,    -0.2972968, , , , ,     -3.534702,    -0.5427227, , , , , 
    -2.768068,     -0.301493, , , , ,     -2.768068,    -0.5336748, , , , , 
    -1.987329,    -0.3049177, , , , ,     -1.987329,     -0.524144, , , , , 
    -1.196463,    -0.3073398, , , , ,     -1.196463,      -0.51356, , , , , 
   -0.3994994,    -0.3079363, , , , ,    -0.3994994,    -0.5005002, , , , , 
    0.3994994,    -0.3079363, , , , ,     0.3994994,    -0.5005002, , , , , 
     1.196463,    -0.3073398, , , , ,      1.196463,      -0.51356, , , , , 
     1.987329,    -0.3049177, , , , ,      1.987329,    -0.5241437, , , , , 
     2.768068,     -0.301493, , , , ,      2.768068,    -0.5336744, , , , , 
     3.534702,    -0.2972968, , , , ,      3.534702,     -0.542722, , , , , 
     4.283323,    -0.2924356, , , , ,      4.283323,     -0.551527, , , , , 
     5.010118,     -0.286971, , , , ,      5.010118,    -0.5603432, , , , , 
     5.711383,    -0.2809186, , , , ,      5.711383,    -0.5685456, , , , , 
     6.383544,    -0.2743245, , , , ,      6.383544,    -0.5766115, , , , , 
     7.023175,    -0.2671909, , , , ,      7.023175,    -0.5837783, , , , , 
     7.627018,    -0.2595016, , , , ,      7.627018,    -0.5898339, , , , , 
     8.191996,    -0.2512098, , , , ,      8.191996,    -0.5931767, , , , , 
     8.715229,    -0.2422243, , , , ,      8.715229,    -0.5932238, , , , , 
     9.194051,    -0.2323753, , , , ,      9.194051,    -0.5892293, , , , , 
     9.626022,    -0.2213971, , , , ,      9.626022,    -0.5795484, , , , , 
     10.00894,    -0.2089293, , , , ,      10.00894,    -0.5619948, , , , , 
     10.34086,    -0.1942652, , , , ,      10.34086,    -0.5343905, , , , , 
     10.62008,    -0.1759833, , , , ,      10.62008,    -0.4936345, , , , , 
     10.84518,     -0.154464, , , , ,      10.84518,    -0.4387311, , , , , 
     11.01502,    -0.1304384, , , , ,      11.01502,    -0.3723512, , , , , 
     11.12873,    -0.1066294, , , , ,      11.12873,    -0.3050843, , , , , 
     11.18573,   -0.09206067, , , , ,      11.18573,    -0.2635856, , , , , 

